chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
512,1,3,125,2048,900,102,798,0,0,3:02:47.187090
1024,1,0,55,128,808,55,753,0,0,1:03:43.831472
1024,1,1,103,256,808,102,706,0,0,1:50:43.426328
1024,1,1,120,512,808,118,690,0,0,2:25:00.488856
1024,1,1,113,1024,808,109,699,0,0,2:46:32.805954
512,1,0,0,1024,0,0,0,0,0,0:00:00
512,1,3,125,2048,900,102,798,0,0,3:02:47.187090
1024,1,0,55,128,808,55,753,0,0,1:03:43.831472
1024,1,1,103,256,808,102,706,0,0,1:50:43.426328
1024,1,1,120,512,808,118,690,0,0,2:25:00.488856
1024,1,1,113,1024,808,109,699,0,0,2:46:32.805954
1024,1,0,127,2048,808,127,681,0,0,3:24:59.046904
