chunk_size,questions_num,qa_count_mismatch,total_questions,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,0,6,128,10,3,7,0:00:49.805216
128,2,3,9,128,20,6,14,0:01:23.922797
