Group 1,Group 2,Pseudo-F,p-value
128,256,0.6886728352823673,0.462
128,512,4.26669906788039,0.041
128,1024,37.052921848252765,0.01
256,512,4.74515767670759,0.036
256,1024,38.699482984175866,0.007
512,1024,10.02520867241739,0.041
