Chunk Size,Dependent Variable,Model 1,Model 2,Mean Difference (M2 - M1)
256,rouge2,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.041812977081087194
256,rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.012039843319510024
256,rougeL,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.02484716953994881
256,rougeL,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.02602813743146065
256,rougeL,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.012807326220438786
256,rougeL,Phi-4-mini-instruct,gemma-7b-spark,-0.038067980750970676
256,rougeL,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.05087530697140946
256,rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.09216177698687072
256,rougeLsum,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.03441670295413857
256,rougeLsum,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.027789249036525743
256,rougeLsum,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.05774507403273216
256,rougeLsum,Phi-4-mini-instruct,gemma-7b-spark,-0.11995102602339647
256,rougeLsum,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.06220595199066431
256,bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.07090750675637958
256,bert_score_P,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,-0.004571783086275927
256,bert_score_P,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.05159788821864164
256,bert_score_P,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.06633572367010365
256,bert_score_P,Phi-4-mini-instruct,gemma-7b-spark,0.019309618537737938
256,bert_score_P,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.047026105132365714
256,bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.06554140658423807
256,bert_score_R,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.03914229113569706
256,bert_score_R,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.03821545628138817
256,bert_score_R,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.02639911544854101
256,bert_score_R,Phi-4-mini-instruct,gemma-7b-spark,-0.10375686286562624
256,bert_score_R,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.07735774741708523
256,bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.018638834486374822
256,bert_score_F1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.02779392724595553
256,bert_score_F1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.04835923375749929
256,bert_score_F1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.009155092759580707
256,bert_score_F1,Phi-4-mini-instruct,gemma-7b-spark,-0.06699806824387411
256,bert_score_F1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.07615316100345482
256,sts_score,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.07782003797097548
256,sts_score,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.060279353697877625
256,sts_score,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.08799196082109095
256,sts_score,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.01754068427309785
256,sts_score,Phi-4-mini-instruct,gemma-7b-spark,-0.16581199879206643
256,sts_score,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.14827131451896858
512,rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.13865393220724614
512,rouge1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.06045665835165637
512,rouge1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.02068186896682725
512,rouge1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.07819727385558978
512,rouge1,Phi-4-mini-instruct,gemma-7b-spark,-0.1179720632404189
512,rouge1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.03977478938482912
512,rouge2,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.030178232788376946
512,rouge2,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.034635846047480184
512,rouge2,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.012651529711166537
512,rouge2,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.004457613259103238
512,rouge2,Phi-4-mini-instruct,gemma-7b-spark,-0.01752670307721041
512,rouge2,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.021984316336313647
512,rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.044573202431452325
512,rougeL,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.04976662715071664
512,rougeL,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.023445756385383265
512,rougeL,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.005193424719264317
512,rougeL,Phi-4-mini-instruct,gemma-7b-spark,-0.02112744604606906
512,rougeL,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.026320870765333376
512,rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.12171604722604584
512,rougeLsum,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.055313948309848426
512,rougeLsum,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.022104778851117363
512,rougeLsum,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.06640209891619742
512,rougeLsum,Phi-4-mini-instruct,gemma-7b-spark,-0.09961126837492848
512,rougeLsum,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.033209169458731064
512,bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.047030113481977276
512,bert_score_P,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.01674541177064537
512,bert_score_P,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.01744854199646484
512,bert_score_P,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.06377552525262264
512,bert_score_P,Phi-4-mini-instruct,gemma-7b-spark,0.029581571485512437
512,bert_score_P,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.03419395376711021
512,bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.06691571059554147
512,bert_score_R,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.05208269661028053
512,bert_score_R,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.004604715148732896
512,bert_score_R,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.014833013985260934
512,bert_score_R,Phi-4-mini-instruct,gemma-7b-spark,-0.06231099544680857
512,bert_score_R,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.047477981461547636
512,bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.03238022362442439
512,bert_score_F1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.045607736887554484
512,bert_score_F1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.0024888108301247547
512,bert_score_F1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.013227513263130097
512,bert_score_F1,Phi-4-mini-instruct,gemma-7b-spark,-0.03486903445454914
512,bert_score_F1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.04809654771767924
512,sts_score,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.042936103463790065
512,sts_score,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.10741114091308168
512,sts_score,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.0051700058273880245
512,sts_score,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.06447503744929162
512,sts_score,Phi-4-mini-instruct,gemma-7b-spark,-0.04810610929117809
512,sts_score,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.1125811467404697
1024,rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.057918015892074806
1024,rouge1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.05311135130589141
1024,rouge1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.002157331380593999
1024,rouge1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.004806664586183396
1024,rouge1,Phi-4-mini-instruct,gemma-7b-spark,-0.05576068451148081
1024,rouge1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.05095401992529741
1024,rouge2,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.006721554044065103
1024,rouge2,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.030650632179152273
1024,rouge2,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.007936453385886819
1024,rouge2,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.03737218622321738
1024,rouge2,Phi-4-mini-instruct,gemma-7b-spark,-0.0012148993418217152
1024,rouge2,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.03858708556503909
1024,rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.007189347337358543
1024,rougeL,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.03722080950244365
1024,rougeL,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.0006520866935324499
1024,rougeL,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.030031462165085107
1024,rougeL,Phi-4-mini-instruct,gemma-7b-spark,-0.006537260643826093
1024,rougeL,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.0365687228089112
