model,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score
Mistral-7B-Instruct-v0.3,0.2608836051371372,0.19276256721725518,0.21372710590230753,0.24775329550342082,0.7445753619791029,0.48630273950023295,0.5826393188049664,0.6138601593376234
Phi-4-mini-instruct,0.3289018507871434,0.16992024140770817,0.20511159125788797,0.29832346989690117,0.6623056229232998,0.5256799867746387,0.5789766256841775,0.6386015967262252
Qwen2.5-7B-Instruct,0.30124081220309085,0.20352614578106515,0.2426594090239218,0.2828918791226521,0.7495392925605662,0.5307347883248511,0.6176199795865608,0.6874671104063311
gemma-7b-spark,0.23990437114139765,0.17017379021265558,0.2009822739541364,0.23137786767116997,0.7081819680904766,0.457876163533979,0.5487302524669742,0.552700751676575
