Chunk Size,Outcome,Model 1,Model 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
128,bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,2.5623295543777873,0.058707579511429554,0.11385712390095429,False
128,sts_score,gemma-7b-spark,Qwen2.5-7B-Instruct,-10.712040732046825,0.0001539012605156993,0.002273003232231867,True
128,sts_score,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-7.376633131915744,0.0005468674509572657,0.004772661390172501,True
128,sts_score,gemma-7b-spark,Phi-4-mini-instruct,-3.8009277671218475,0.010035521691852938,0.03265796889552142,True
128,sts_score,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,6.254992142523809,0.0003126499427028329,0.003497719163165476,True
128,sts_score,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,1.0213882355509027,0.36253493897426764,0.46097157803350586,False
128,sts_score,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.4763582700700712,0.6570566730949651,0.7210107136231056,False
256,rouge1,gemma-7b-spark,Qwen2.5-7B-Instruct,-4.217570250081731,0.009138048864150098,0.03159900518488789,True
256,rouge1,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-1.408845722743887,0.19664842571962488,0.27762130689829395,False
256,rouge1,gemma-7b-spark,Phi-4-mini-instruct,-3.5073584778125193,0.015336260726310025,0.042065172277878926,True
256,rouge1,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,2.4867723676756723,0.056514025507264656,0.11072135609586546,False
256,rouge1,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,-1.9375022532250732,0.12232744506216038,0.20057561332441062,False
256,rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-2.7814587986234764,0.037061396295517676,0.07651385041655262,False
256,rouge2,gemma-7b-spark,Qwen2.5-7B-Instruct,-2.1911569544462552,0.08829805624828552,0.15553419082266806,False
256,rouge2,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-1.590673885358736,0.1560315039345484,0.23966439004346635,False
256,rouge2,gemma-7b-spark,Phi-4-mini-instruct,-1.5485347525005921,0.1650952289797425,0.24764284346961374,False
256,rouge2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0.47290264095393914,0.6571712233543932,0.7210107136231056,False
256,rouge2,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,0.510525588661392,0.6326487951603189,0.7062126085510536,False
256,rouge2,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.03675883277903647,0.971578629587361,0.9781488903946557,False
256,rougeL,gemma-7b-spark,Qwen2.5-7B-Instruct,-2.723306661851156,0.045907598618228636,0.09278167299684102,False
256,rougeL,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-1.1816470100457077,0.2751481658418745,0.3694297051862931,False
256,rougeL,gemma-7b-spark,Phi-4-mini-instruct,-1.574624241629248,0.15449898360628303,0.23922423268069629,False
256,rougeL,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,1.8429046636928281,0.12327042902229404,0.20057561332441062,False
256,rougeL,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,0.7639299706520399,0.48147011378419446,0.5813978732488386,False
256,rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.589410479800297,0.5727478416413184,0.6664702157280796,False
256,rougeLsum,gemma-7b-spark,Qwen2.5-7B-Instruct,-3.5424150493670483,0.018069599848694527,0.04752552288971711,True
256,rougeLsum,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-1.2440699674011968,0.249267740282743,0.3394284122999054,False
256,rougeLsum,gemma-7b-spark,Phi-4-mini-instruct,-3.1120180010255796,0.021856063955253514,0.05300536821912796,False
256,rougeLsum,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,2.207128245379735,0.07887318049990037,0.14286462883000822,False
256,rougeLsum,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,-1.6465882821020124,0.17200139046868157,0.255207032719003,False
256,rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-2.4453193751492823,0.05465182160864732,0.10817680153464211,False
256,bert_score_P,gemma-7b-spark,Qwen2.5-7B-Instruct,-5.010724595981911,0.004818070712565772,0.02168372788017126,True
256,bert_score_P,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-5.523077751347863,0.0033965999621973723,0.017161768230049883,True
256,bert_score_P,gemma-7b-spark,Phi-4-mini-instruct,1.2079148060991307,0.2660246493509338,0.35969530053084003,False
256,bert_score_P,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,-1.2436490741030055,0.248954629837668,0.3394284122999054,False
256,bert_score_P,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,4.920027887861516,0.006465516992324018,0.024340769853455128,True
256,bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,5.270758671986626,0.005097582407302122,0.02168372788017126,True
256,bert_score_R,gemma-7b-spark,Qwen2.5-7B-Instruct,-7.383244424988109,0.000697880774475803,0.005362839097176807,True
256,bert_score_R,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-2.674770909772372,0.02821330064048973,0.06298783398807009,False
256,bert_score_R,gemma-7b-spark,Phi-4-mini-instruct,-4.383224919228077,0.005461957657118935,0.02168372788017126,True
256,bert_score_R,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,3.5762909175437514,0.01628324689640564,0.04367265020389829,True
256,bert_score_R,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,-1.2100071152346543,0.28966825259686657,0.3862243367958221,False
256,bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-2.74439170103995,0.03500871659218691,0.07306166940978139,False
256,bert_score_F1,gemma-7b-spark,Qwen2.5-7B-Instruct,-8.068402639735375,0.0005007484272307692,0.004578271334681318,True
256,bert_score_F1,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-3.995015627325954,0.0040378949290510585,0.019108760701840227,True
256,bert_score_F1,gemma-7b-spark,Phi-4-mini-instruct,-5.096194397409917,0.0009523184214001876,0.006530183461029858,True
256,bert_score_F1,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,3.179162182599023,0.02381421606157728,0.056448512145960965,False
256,bert_score_F1,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,0.9032240467193576,0.40939205892121966,0.5038671494415011,False
256,bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-1.472687246588535,0.18005179195529913,0.26080976218029694,False
