chunk_size,max_tokens,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,model,model_key,lmforge_run,group
128,256,0.4515886047375864,0.2437642141932235,0.2959757960045615,0.3955349396964392,0.6543664906947118,0.6265474284454337,0.6344721733399157,0.7600089463422883,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,512,0.4216969633505886,0.2218420914660486,0.2732904704851825,0.3687323348633501,0.6338671728683885,0.6251546827376269,0.6249462313902606,0.7522597779893572,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,1024,0.4151864261563657,0.2165902128608559,0.2686965227874966,0.3631809108198486,0.6292470280522634,0.6195891457397524,0.6200094150554808,0.7432188679291485,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,2048,0.4260391481507692,0.2209185126859585,0.2764975535935691,0.3705875718443335,0.6282817599950014,0.6235526621972443,0.6240766370107257,0.7446055342911413,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
256,256,0.4637219163613213,0.2465799667526003,0.2860628131690417,0.4191168289714372,0.7026204106054807,0.5785434150480127,0.6304077106086832,0.7427175256766771,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
256,512,0.4743313041273148,0.2428267649220207,0.2834132680900922,0.4253340601194616,0.6899649669323955,0.5920231744042925,0.6336531299460042,0.754849889063956,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
256,1024,0.4695808742022759,0.2383116259233051,0.2791202467049793,0.4215606860336919,0.6868217500119373,0.5885003938435994,0.6303810552404873,0.7515987290294263,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
256,2048,0.4695808742022759,0.2383116259233051,0.2791202467049793,0.4215606860336919,0.6868217500119373,0.5885003938435994,0.6303810552404873,0.7515987290294263,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
512,128,0.1471049443934473,0.0929869927076419,0.1059191976889583,0.1423196591581463,0.6968455601621557,0.3947870212572592,0.4998921663672835,0.4642471046083503,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
512,256,0.3430930171094396,0.1767223210589755,0.2079048623241931,0.3184301145939469,0.7046325120962027,0.5290511117288561,0.6021635549312289,0.6413449537093666,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
512,512,0.3787212696017046,0.1883436296665783,0.2213268828293516,0.3485697386057712,0.6996716208006504,0.5437715696630158,0.6085898773322209,0.6512422687585302,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
512,1024,0.3632411721861548,0.1797308916203392,0.2128120374646657,0.3349409350008134,0.6957926308106624,0.5348876735322738,0.6014398797015592,0.6376583361708691,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
512,2048,0.3597304925779503,0.1755715021805975,0.2095008578346813,0.3315305330144745,0.6913414114832482,0.531726998422431,0.5978710303373908,0.6309555471210316,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
1024,128,0.063674991910936,0.0336591761124156,0.0472797743542928,0.0622058440167147,0.575878843665123,0.3467587530612945,0.4297876060009002,0.4285450875759125,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
1024,256,0.1766959383217404,0.0815606187799002,0.102723994623038,0.1650333603049787,0.6111311092972755,0.4568447405472398,0.5196903767064214,0.5541739598847926,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
1024,512,0.2043546778294912,0.0888191092005806,0.114035722012002,0.1913802566209718,0.6005148210308768,0.4701426140286706,0.5248419393192638,0.5241769488562237,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
1024,1024,0.186260634384116,0.0810400615585933,0.1059510444471165,0.1743375171312232,0.5961568777437334,0.4601318296286967,0.5170940211066952,0.4747872302284488,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
1024,2048,0.1889835852375163,0.0800021055330473,0.1081111008313969,0.1772287491448709,0.5972966071098081,0.4648284668563515,0.5208449735436388,0.4925741705522742,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
