Group 1,Group 2,Pseudo-F,p-value
128,256,12.599139766817165,0.007
128,512,30.95138225500112,0.006
128,1024,133.0378213599864,0.007
256,512,4.968322236305874,0.052
256,1024,50.31077418582263,0.009
512,1024,17.49070478026,0.013
