chunk_size,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score
128,0.3745050196362471,0.26990429352382406,0.31663576190828574,0.3566215486120109,0.7301512326573102,0.5131381053195957,0.59296945072033,0.6078294410392726
256,0.27647306797074384,0.19384518806209647,0.22784494571621577,0.26726348181932325,0.7237563158126453,0.46172901403363964,0.5545720254656045,0.5658905989506724
512,0.20040611593332044,0.14514436436961609,0.17036532158230094,0.19554692769970197,0.7272383185560963,0.44453387947395867,0.5471222672793875,0.5569835327824515
1024,0.10823328102527918,0.07180131489508568,0.08908306660974315,0.1060795125536437,0.6515820053358548,0.4121036553087219,0.5002572664025748,0.4800994339339031
