feature,VIF
const,6658.2307078381355
rouge1,12746.081749368197
rouge2,1250.736936619402
rougeL,3124.422438723069
rougeLsum,10322.814696295374
bert_score_P,104.43870566831332
bert_score_R,844.0343901173048
bert_score_F1,1158.0120772930554
sts_score,37.295938953831566
