chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time_sec,Model,Machine,success_rate,throughput
256,0,4,2771,1024,1800,1383,417,0,0,195812.423726,microsoft-phi-4,DGX Spark,0.7683333333333333,0.014151298203006034
256,0,5,2780,2048,1800,1386,414,0,0,197939.660305,microsoft-phi-4,DGX Spark,0.77,0.014044684100782892
512,0,0,30,128,1622,15,1607,0,0,51234.737047,microsoft-phi-4,DGX Spark,0.009247842170160296,0.0005855402355725883
512,0,0,210,256,1622,105,1517,0,0,99350.511436,microsoft-phi-4,DGX Spark,0.06473489519112208,0.0021137284243904334
512,0,0,2422,512,1622,1211,411,0,0,154782.468727,microsoft-phi-4,DGX Spark,0.7466091245376079,0.015647766959136958
512,0,5,2960,2048,1622,1471,151,0,0,159460.702265,microsoft-phi-4,DGX Spark,0.906905055487053,0.018562567190259328
128,0,0,160,128,1800,80,1720,0,0,8248.257175,Mistral-7B-Instruct-v0.3,Lab Machine,0.044444444444444446,0.019398037258701258
128,0,25,2374,256,1800,1174,626,0,0,13810.296122,Mistral-7B-Instruct-v0.3,Lab Machine,0.6522222222222223,0.1719007310942583
128,0,60,1836,512,900,868,32,0,0,7728.286165,Mistral-7B-Instruct-v0.3,Lab Machine,0.9644444444444444,0.23756884266461423
128,0,111,3758,1024,1800,1782,18,0,0,15393.972555,Mistral-7B-Instruct-v0.3,Lab Machine,0.99,0.24412152136645146
128,0,112,3764,2048,1800,1783,17,0,0,15392.440439,Mistral-7B-Instruct-v0.3,Lab Machine,0.9905555555555555,0.2445356222047227
256,0,0,104,128,1800,52,1748,0,0,8326.57844,Mistral-7B-Instruct-v0.3,Lab Machine,0.028888888888888888,0.012490124334912289
256,0,15,1912,256,1800,945,855,0,0,14787.877539,Mistral-7B-Instruct-v0.3,Lab Machine,0.525,0.12929509288655464
256,0,38,1768,512,900,848,52,0,0,8706.912364,Mistral-7B-Instruct-v0.3,Lab Machine,0.9422222222222222,0.20305705697809182
256,0,49,1874,1024,900,882,18,2,0,8924.599589,Mistral-7B-Instruct-v0.3,Lab Machine,0.98,0.20998140939676394
256,0,99,3774,2048,1800,1778,22,2,0,17703.470668,Mistral-7B-Instruct-v0.3,Lab Machine,0.9877777777777778,0.21317853830897196
512,0,0,84,128,1622,42,1580,0,0,7724.579014,Mistral-7B-Instruct-v0.3,Lab Machine,0.025893958076448828,0.01087437902412011
512,0,2,1477,256,1622,737,885,0,0,13806.689769,Mistral-7B-Instruct-v0.3,Lab Machine,0.45437731196054254,0.10697712664742355
512,0,27,3149,512,1622,1551,71,0,0,16822.669664,Mistral-7B-Instruct-v0.3,Lab Machine,0.9562268803945746,0.18718788770719097
512,0,45,3291,1024,1622,1599,23,0,0,17085.40266,Mistral-7B-Instruct-v0.3,Lab Machine,0.9858199753390875,0.19262057005567818
512,0,46,3300,2048,1622,1601,21,0,0,17093.491086,Mistral-7B-Instruct-v0.3,Lab Machine,0.9870530209617756,0.19305594061489187
128,0,0,156,128,1800,78,1722,0,0,66837.042874,Mistral-7B-Instruct-v0.3,DGX Spark,0.043333333333333335,0.002334035039432974
128,0,111,3759,2048,1800,1781,19,0,0,136586.816152,Mistral-7B-Instruct-v0.3,DGX Spark,0.9894444444444445,0.027520957775432835
256,0,0,104,128,1800,52,1748,0,0,70049.111412,Mistral-7B-Instruct-v0.3,DGX Spark,0.028888888888888888,0.0014846726518529959
256,0,15,1906,256,1800,942,858,0,0,125636.29198,Mistral-7B-Instruct-v0.3,DGX Spark,0.5233333333333333,0.015170775656952814
256,0,67,3561,512,1800,1723,77,0,0,152320.490765,Mistral-7B-Instruct-v0.3,DGX Spark,0.9572222222222222,0.023378338542080393
256,0,96,3770,2048,1800,1780,20,2,0,162189.185883,Mistral-7B-Instruct-v0.3,DGX Spark,0.9888888888888889,0.02324445973062348
512,0,0,86,128,1622,43,1579,0,0,70237.523899,Mistral-7B-Instruct-v0.3,DGX Spark,0.02651048088779285,0.0012244167394577588
512,0,2,1495,256,1622,746,876,0,0,124755.695487,Mistral-7B-Instruct-v0.3,DGX Spark,0.4599260172626387,0.011983420830320203
512,0,27,3155,512,1622,1554,68,0,0,150633.294363,Mistral-7B-Instruct-v0.3,DGX Spark,0.9580764488286067,0.020944904732661557
512,0,46,3299,1024,1622,1602,20,0,0,145703.552043,Mistral-7B-Instruct-v0.3,DGX Spark,0.9876695437731196,0.022641863933601288
512,0,47,3308,2048,1622,1604,18,0,0,147591.732768,Mistral-7B-Instruct-v0.3,DGX Spark,0.9889025893958077,0.022413179505114
