chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time_sec,Machine,Model,questions_per_sec,success_rate
1024,0,0,104,256,910,52,858,0,0,7045.12383,Lab Machine,microsoft-phi-4,0.014761983253884125,0.05714285714285714
1024,0,2,1305,512,910,649,261,0,0,11373.039009,Lab Machine,microsoft-phi-4,0.11474505617779861,0.7131868131868132
1024,0,13,1572,1024,910,775,135,0,0,11820.082521,Lab Machine,microsoft-phi-4,0.13299399536400242,0.8516483516483516
1024,0,14,1578,2048,910,776,134,0,0,11933.212878,Lab Machine,microsoft-phi-4,0.13223597166436135,0.8527472527472527
128,0,0,10,128,1800,5,1795,0,0,46705.089945,DGX Spark,microsoft-phi-4,0.00021410942601279685,0.002777777777777778
128,0,0,106,256,1800,53,1747,0,0,99701.064955,DGX Spark,microsoft-phi-4,0.0010631782122672714,0.029444444444444443
128,0,0,426,512,900,213,687,0,0,94012.032716,DGX Spark,microsoft-phi-4,0.004531334848241172,0.23666666666666666
128,0,4,626,1024,900,310,590,0,0,100407.861892,DGX Spark,microsoft-phi-4,0.006234571558483475,0.34444444444444444
128,0,7,1613,2048,1800,801,999,0,0,187639.134881,DGX Spark,microsoft-phi-4,0.00859628776812981,0.445
256,0,0,28,128,1800,14,1786,0,0,51759.326962,DGX Spark,microsoft-phi-4,0.0005409653031338039,0.0077777777777777776
256,0,1,126,256,1800,62,1738,0,0,103913.579612,DGX Spark,microsoft-phi-4,0.001212546045189357,0.034444444444444444
256,0,0,1730,512,1477,865,611,0,0,0.000171,DGX Spark,microsoft-phi-4,10116959.064327484,0.5856465809072444
256,0,4,2771,1024,1800,1383,417,0,0,195812.423726,DGX Spark,microsoft-phi-4,0.014151298203006034,0.7683333333333333
256,0,5,2780,2048,1800,1386,414,0,0,197939.660305,DGX Spark,microsoft-phi-4,0.014044684100782892,0.77
512,0,0,30,128,1622,15,1607,0,0,51234.737047,DGX Spark,microsoft-phi-4,0.0005855402355725883,0.009247842170160296
512,0,0,210,256,1622,105,1517,0,0,99350.511436,DGX Spark,microsoft-phi-4,0.0021137284243904334,0.06473489519112208
512,0,0,2422,512,1622,1211,411,0,0,154782.468727,DGX Spark,microsoft-phi-4,0.015647766959136958,0.7466091245376079
512,0,5,2806,1024,1542,1394,147,0,0,0.000164,DGX Spark,microsoft-phi-4,17109756.097560976,0.9040207522697795
512,0,5,2960,2048,1622,1471,151,0,0,159460.702265,DGX Spark,microsoft-phi-4,0.018562567190259328,0.906905055487053
1024,0,0,14,128,910,7,903,0,0,28624.817001,DGX Spark,microsoft-phi-4,0.0004890860961490484,0.007692307692307693
1024,0,0,100,256,910,50,860,0,0,56344.211458,DGX Spark,microsoft-phi-4,0.0017748052091303439,0.054945054945054944
128,0,0,160,128,1800,80,1720,0,0,8248.257175,Lab Machine,Mistral-7B-Instruct-v0.3,0.019398037258701258,0.044444444444444446
128,0,25,2374,256,1800,1174,626,0,0,13810.296122,Lab Machine,Mistral-7B-Instruct-v0.3,0.1719007310942583,0.6522222222222223
128,0,60,1836,512,900,868,32,0,0,7728.286165,Lab Machine,Mistral-7B-Instruct-v0.3,0.23756884266461423,0.9644444444444444
128,0,111,3758,1024,1800,1782,18,0,0,15393.972555,Lab Machine,Mistral-7B-Instruct-v0.3,0.24412152136645146,0.99
128,0,112,3764,2048,1800,1783,17,0,0,15392.440439,Lab Machine,Mistral-7B-Instruct-v0.3,0.2445356222047227,0.9905555555555555
256,0,0,104,128,1800,52,1748,0,0,8326.57844,Lab Machine,Mistral-7B-Instruct-v0.3,0.012490124334912289,0.028888888888888888
256,0,15,1912,256,1800,945,855,0,0,14787.877539,Lab Machine,Mistral-7B-Instruct-v0.3,0.12929509288655464,0.525
256,0,38,1768,512,900,848,52,0,0,8706.912364,Lab Machine,Mistral-7B-Instruct-v0.3,0.20305705697809182,0.9422222222222222
256,0,49,1874,1024,900,882,18,2,0,8924.599589,Lab Machine,Mistral-7B-Instruct-v0.3,0.20998140939676394,0.98
256,0,99,3774,2048,1800,1778,22,2,0,17703.470668,Lab Machine,Mistral-7B-Instruct-v0.3,0.21317853830897196,0.9877777777777778
512,0,0,84,128,1622,42,1580,0,0,7724.579014,Lab Machine,Mistral-7B-Instruct-v0.3,0.01087437902412011,0.025893958076448828
512,0,2,1477,256,1622,737,885,0,0,13806.689769,Lab Machine,Mistral-7B-Instruct-v0.3,0.10697712664742355,0.45437731196054254
512,0,27,3149,512,1622,1551,71,0,0,16822.669664,Lab Machine,Mistral-7B-Instruct-v0.3,0.18718788770719097,0.9562268803945746
512,0,45,3291,1024,1622,1599,23,0,0,17085.40266,Lab Machine,Mistral-7B-Instruct-v0.3,0.19262057005567818,0.9858199753390875
512,0,46,3300,2048,1622,1601,21,0,0,17093.491086,Lab Machine,Mistral-7B-Instruct-v0.3,0.19305594061489187,0.9870530209617756
1024,0,0,58,128,910,29,881,0,0,4627.558752,Lab Machine,Mistral-7B-Instruct-v0.3,0.01253360640206519,0.031868131868131866
1024,0,1,787,256,910,393,517,0,0,8267.548161,Lab Machine,Mistral-7B-Instruct-v0.3,0.09519146241112535,0.4318681318681319
1024,0,19,1755,512,910,864,46,0,0,10267.249211,Lab Machine,Mistral-7B-Instruct-v0.3,0.17093185954030896,0.9494505494505494
1024,0,28,1827,1024,910,889,21,0,0,21562.676733,Lab Machine,Mistral-7B-Instruct-v0.3,0.084729740311133,0.9769230769230769
1024,0,7,717,2048,358,346,12,0,0,3932.080644,Lab Machine,Mistral-7B-Instruct-v0.3,0.18234620927576276,0.9664804469273743
128,0,0,156,128,1800,78,1722,0,0,66837.042874,DGX Spark,Mistral-7B-Instruct-v0.3,0.002334035039432974,0.043333333333333335
128,0,24,2361,256,1800,1168,631,0,0,0.00025,DGX Spark,Mistral-7B-Instruct-v0.3,9444000.0,0.6488888888888888
128,0,111,3759,2048,1800,1781,19,0,0,136586.816152,DGX Spark,Mistral-7B-Instruct-v0.3,0.027520957775432835,0.9894444444444445
256,0,0,104,128,1800,52,1748,0,0,70049.111412,DGX Spark,Mistral-7B-Instruct-v0.3,0.0014846726518529959,0.028888888888888888
256,0,15,1906,256,1800,942,858,0,0,125636.29198,DGX Spark,Mistral-7B-Instruct-v0.3,0.015170775656952814,0.5233333333333333
256,0,67,3561,512,1800,1723,77,0,0,152320.490765,DGX Spark,Mistral-7B-Instruct-v0.3,0.023378338542080393,0.9572222222222222
256,0,66,2567,1024,1223,1214,8,0,0,0.000281,DGX Spark,Mistral-7B-Instruct-v0.3,9135231.316725979,0.9926410466067048
256,0,96,3770,2048,1800,1780,20,2,0,162189.185883,DGX Spark,Mistral-7B-Instruct-v0.3,0.02324445973062348,0.9888888888888889
512,0,0,86,128,1622,43,1579,0,0,70237.523899,DGX Spark,Mistral-7B-Instruct-v0.3,0.0012244167394577588,0.02651048088779285
512,0,2,1495,256,1622,746,876,0,0,124755.695487,DGX Spark,Mistral-7B-Instruct-v0.3,0.011983420830320203,0.4599260172626387
512,0,27,3155,512,1622,1554,68,0,0,150633.294363,DGX Spark,Mistral-7B-Instruct-v0.3,0.020944904732661557,0.9580764488286067
512,0,46,3299,1024,1622,1602,20,0,0,145703.552043,DGX Spark,Mistral-7B-Instruct-v0.3,0.022641863933601288,0.9876695437731196
512,0,47,3308,2048,1622,1604,18,0,0,147591.732768,DGX Spark,Mistral-7B-Instruct-v0.3,0.022413179505114,0.9889025893958077
1024,0,0,56,128,910,28,882,0,0,39294.138565,DGX Spark,Mistral-7B-Instruct-v0.3,0.0014251489419310037,0.03076923076923077
1024,0,0,358,256,358,179,179,0,0,25605.191035,DGX Spark,Mistral-7B-Instruct-v0.3,0.013981539895978362,0.5
1024,0,19,1757,512,910,865,45,0,0,84584.84701,DGX Spark,Mistral-7B-Instruct-v0.3,0.02077204206318751,0.9505494505494505
1024,0,28,1831,1024,910,891,19,0,0,86266.209119,DGX Spark,Mistral-7B-Instruct-v0.3,0.021224996655112377,0.9791208791208791
1024,0,31,1859,2048,910,894,16,0,0,86957.74836,DGX Spark,Mistral-7B-Instruct-v0.3,0.021378198436139913,0.9824175824175824
