feature,VIF
const,5048.462716479302
rouge1,14995.25250718502
rouge2,1248.3733428198416
rougeL,564.9430698746858
rougeLsum,11569.43049363615
bert_score_P,102.61239320502835
bert_score_R,1366.903369731912
bert_score_F1,1391.1215617518774
sts_score,52.16033146040378
