chunk_size,max_tokens,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,group
128,128,0.3058580687202302,0.1725074186133616,0.2226413755413216,0.2863843939085424,0.7088545262813568,0.4583956531502984,0.545962162993171,0.6137202117930759,NEW_RUNS_LMForge_RUN04_Lab_Machine,128
256,128,0.2685921121816433,0.1783159863948147,0.2018480576668397,0.248500278055316,0.7560046088127863,0.4798620073568253,0.5830275175117311,0.6577481159142086,NEW_RUNS_LMForge_RUN04_Lab_Machine,256
512,128,0.1471049443934473,0.0929869927076419,0.1059191976889583,0.1423196591581463,0.6968455601621557,0.3947870212572592,0.4998921663672835,0.4642471046083503,NEW_RUNS_LMForge_RUN04_Lab_Machine,512
1024,128,0.063674991910936,0.0336591761124156,0.0472797743542928,0.0622058440167147,0.575878843665123,0.3467587530612945,0.4297876060009002,0.4285450875759125,NEW_RUNS_LMForge_RUN04_Lab_Machine,1024
1024,256,0.1766959383217404,0.0815606187799002,0.102723994623038,0.1650333603049787,0.6111311092972755,0.4568447405472398,0.5196903767064214,0.5541739598847926,NEW_RUNS_LMForge_RUN04_Lab_Machine,1024
