chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score
128,128,2,0.17033842882389946,0.09971623564239199,0.14107639373633002,0.15981158661575667,0.6255799233913422,0.36136734356050904,0.4549603345601455,0.4555207601060038
128,256,2,0.24216728814935912,0.16395055374127576,0.21180217539403967,0.23059722066911909,0.6307024610313502,0.4225564663383094,0.4957582950592041,0.4593913206322627
128,512,2,0.1592048785166193,0.0863919147381105,0.13015912145502162,0.15337940280438633,0.5573386623434824,0.3575985501073811,0.4200073051942538,0.3539308555526276
128,1024,2,0.24530740549353913,0.15177625181297083,0.20394119641297295,0.23062345561636755,0.5950914171609012,0.42356845194643195,0.48754666935313834,0.49953419186852194
128,2048,2,0.2152492371178602,0.13106547081338377,0.17882825248047363,0.2092431787886222,0.5929829720407724,0.40115364578862983,0.4688905378182729,0.4163136783366402
256,128,2,0.07084289016401149,0.028008196400002093,0.05565257158893534,0.0670687313359334,0.6194873321801424,0.29726265277713537,0.39387122727930546,0.37489544600248337
256,256,2,0.1407549129111036,0.09471104747787559,0.12377785989276185,0.13688372757605338,0.6616630438301299,0.35538235844837296,0.45237049212058383,0.411639388029774
256,512,2,0.315442645785574,0.23744449119653172,0.27991311967938104,0.3097577218969634,0.6619329656425276,0.4664051736655988,0.5399795543206366,0.5321860358511147
256,1024,2,0.25406743682213295,0.18175705203938258,0.22243366158911415,0.2434105116404906,0.6577029774586359,0.4331923097372055,0.5118348451952139,0.45981466630473733
256,2048,2,0.12955651048129946,0.09076689173062864,0.11411799313158941,0.12855758735395145,0.637450272357592,0.33382506620499397,0.426326590680307,0.3568833782387677
512,128,2,0.03774919995518806,0.0233737428774016,0.03414331189812274,0.036475134544073855,0.6089768280153689,0.2674539354832276,0.36818050560743915,0.3491820472738017
512,256,2,0.14267710449516188,0.08368609050331036,0.11443412659173353,0.13958546411023204,0.6941174149513245,0.4104633618146181,0.512654959410429,0.47830022815614937
512,512,2,0.1783309580411656,0.13414253259046982,0.15630430707593335,0.17335559445251902,0.7113094495402442,0.4018630054261949,0.5085519386662377,0.4748018100443814
512,1024,2,0.10030088195763465,0.06530445817832448,0.08200676092429077,0.09947811761809344,0.668425787454364,0.3429049577178626,0.44792016432888204,0.4259592641530366
512,2048,2,0.2242860339422192,0.16825639013812724,0.1956212078030982,0.21874221094046203,0.7069722419067964,0.4362589865922928,0.5307854873649145,0.46701924292118113
1024,128,2,0.034311342827331934,0.011301729018526364,0.027922180798977545,0.033224951233968646,0.6052711188793183,0.32163366973400115,0.41664556562900545,0.3850333787500858
1024,256,2,0.06869379917305635,0.05369334346958242,0.061759832983127844,0.06842976016219918,0.6748164915121518,0.38616971098459685,0.4863245418438545,0.4776271258910688
1024,512,2,0.09050550965548307,0.05442146661822426,0.07376261786869734,0.0873804993446537,0.6150922521631769,0.40279011935629744,0.48478820412716966,0.4656626913458743
1024,1024,2,0.12477557839511795,0.08128282891757871,0.10246069545255485,0.12132549105538565,0.6305380703187456,0.4050709488345127,0.4865005615295148,0.4219575399971184
1024,2048,2,0.10228932128797877,0.08247249976005261,0.09122970112423817,0.09793608217028164,0.646128922700882,0.38965211037014214,0.47617634093122824,0.4116663923487067
