group,max_length,accuracy,weighted_f1,training_time,prediction_time
Large,128,0.7806962025316455,0.7502883499118367,709.937875,8.209270605468749
Large,256,0.9487341772151898,0.9479448490290278,900.6088749999999,12.967570703125
Large,512,0.9512658227848101,0.9506387796373929,1693.5250250000001,29.369733984375
Medium,128,0.9509493670886077,0.9508007919193705,179.5775265625,2.4603613037109375
Medium,256,0.9503164556962025,0.9499870776929994,253.84544375000002,4.321300830078125
Medium,512,0.9528481012658228,0.952556641112753,475.4064,10.4126740234375
Small,128,0.9496835443037975,0.9489015794023136,82.89727578125,1.711917041015625
Small,256,0.9476265822784811,0.9469860517368826,117.80079921874999,2.6951254272460936
Small,512,0.9511075949367088,0.9505338516827386,227.98975000000002,5.949753369140625
