model,max_length,train_time_sec,pred_time_sec,accuracy,f1,precision,recall
albert-base-v2,128,217.217125,4.581357421875,0.978981406628941,0.978568453595516,0.9787237694533601,0.978981406628941
albert-base-v2,256,433.9475,9.2309140625,0.9805982215036378,0.9803301181009466,0.9803473945655485,0.9805982215036378
albert-base-v2,512,887.4976875,18.684453125,0.9765561843168957,0.9762657386605518,0.9762016427433062,0.9765561843168957
albert-base-v1,128,139.804234375,2.957866455078125,0.9805982215036378,0.9805462085911918,0.9805051381400267,0.9805982215036378
albert-base-v1,256,282.30728125,5.8595595703125,0.9854486661277284,0.9853700550221784,0.9853364720074711,0.9854486661277284
albert-base-v1,512,600.2656875,12.1658857421875,0.9830234438156831,0.982908367135548,0.9828633867591143,0.9830234438156831
electra-small,128,41.05021875,0.7217830200195312,0.9773645917542442,0.9768523716258597,0.9770860005971218,0.9773645917542442
electra-small,256,98.2395859375,1.9641673583984376,0.9781729991915926,0.9779025842701689,0.9778599413335963,0.9781729991915926
electra-small,512,257.661421875,4.9972509765625,0.9773645917542442,0.9769863442048629,0.9770183807811498,0.9773645917542442
albert-large-v2,128,649.739875,13.7735966796875,0.9668552950687146,0.9656409955515488,0.9662628596257025,0.9668552950687146
albert-large-v2,256,1269.558875,26.847306640625,0.9345189975747777,0.9274234955560066,0.9330101750555204,0.9345189975747777
albert-large-v2,512,2565.11025,54.24115234375,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
mobilebert,128,102.8430703125,2.12778466796875,0.9725141471301536,0.9718089239650671,0.9720398647964685,0.9725141471301536
mobilebert,256,184.51553125,4.1885224609375,0.978981406628941,0.9784421183262277,0.9788638654665281,0.978981406628941
mobilebert,512,466.6886875,11.2984248046875,0.9749393694421988,0.9746288930509346,0.9745433441530159,0.9749393694421988
deberta-v3-small,128,169.608109375,2.8659501953125,0.9765561843168957,0.9760607614155817,0.9762150847786284,0.9765561843168957
deberta-v3-small,256,305.15090625,6.99063330078125,0.9805982215036378,0.9802170340881687,0.9804077291518087,0.9805982215036378
deberta-v3-small,512,686.405375,19.1330859375,0.9781729991915926,0.9779025842701689,0.9778599413335963,0.9781729991915926
albert-xlarge-v2,128,1736.2315,58.69342578125,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xlarge-v2,256,3383.61975,116.205078125,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xlarge-v2,512,5998.927,185.392984375,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
distilbert,128,87.4554765625,1.7691044921875,0.978981406628941,0.9782451064144311,0.9792792955051172,0.978981406628941
distilbert,256,139.695234375,3.2274326171875,0.9814066289409863,0.981176275489403,0.9811765385141767,0.9814066289409863
distilbert,512,262.1921875,6.54915234375,0.978981406628941,0.9787508247974432,0.9786998071233577,0.978981406628941
xlnet,128,273.4495625,5.11891015625,0.9765561843168957,0.9762657386605518,0.9762016427433062,0.9765561843168957
xlnet,256,517.23996875,11.900828125,0.9749393694421988,0.9748382134372623,0.9747612823756309,0.9749393694421988
xlnet,512,1223.0365,30.78503515625,0.978981406628941,0.9786301767616582,0.9786918341338862,0.978981406628941
electra-base-generator,128,75.9663203125,1.2362745361328125,0.9741309620048505,0.9734672225553573,0.9737458649639834,0.9741309620048505
electra-base-generator,256,112.7306875,2.089521240234375,0.9749393694421988,0.9745569708581736,0.9745141965585394,0.9749393694421988
electra-base-generator,512,225.148546875,5.392654296875,0.9741309620048505,0.9735455675724112,0.9736963926718526,0.9741309620048505
roberta,128,224.0388125,3.23840185546875,0.9822150363783346,0.9820199286747596,0.9820066111768064,0.9822150363783346
roberta,256,326.24778125,6.05978759765625,0.9814066289409863,0.981122913862516,0.9811874874534081,0.9814066289409863
roberta,512,566.1881875,11.96199609375,0.9822150363783346,0.982167357875259,0.982130687582007,0.9822150363783346
deberta-v3-base,128,373.49146875,5.728412109375,0.9814066289409863,0.9809578303528237,0.9813695575985364,0.9814066289409863
deberta-v3-base,256,638.8801875,13.683384765625,0.9830234438156831,0.9828611056995286,0.9828376268926035,0.9830234438156831
deberta-v3-base,512,1386.091875,36.83985546875,0.9838318512530315,0.9836998342564511,0.9836695997477264,0.9838318512530315
xlm-roberta-base,128,419.952125,4.492880859375,0.9708973322554567,0.9698778396507508,0.9705700302540556,0.9708973322554567
xlm-roberta-base,256,481.40215625,6.47685107421875,0.973322554567502,0.9725972048136188,0.9729243876440257,0.973322554567502
xlm-roberta-base,512,631.0474375,12.7869814453125,0.973322554567502,0.9726786261583991,0.9728677717716185,0.973322554567502
bert-large-uncased,128,625.6170625,10.58040625,0.9781729991915926,0.9777763349252977,0.9778653876241261,0.9781729991915926
bert-large-uncased,256,847.6636875,20.6078359375,0.9773645917542442,0.977303910023057,0.9772540392560664,0.9773645917542442
bert-large-uncased,512,1332.50075,40.4752421875,0.9749393694421988,0.9744097794442425,0.9745257460461095,0.9749393694421988
roberta-large,128,649.4563125,10.2034765625,0.9620048504446241,0.9601071178203253,0.9614957894514098,0.9620048504446241
roberta-large,256,874.453625,20.16793359375,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
roberta-large,512,1351.252125,38.96680859375,0.9337105901374293,0.9235064894077311,0.9384006087817183,0.9337105901374293
electra-large,128,646.262625,11.2284248046875,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
