Group 1,Group 2,Pseudo-F,p-value
128,256,55.43727656530006,0.012
128,512,231.94281017056795,0.011
128,1024,538.5886050655891,0.007
256,512,35.03501010143886,0.011
256,1024,102.30692359676746,0.011
512,1024,14.465823695933334,0.007
