chunk_size,questions_num,qa_count_mismatch,total_questions,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,1,9,128,20,5,15,0:01:26.339257
128,2,3,16,256,20,8,12,0:01:42.832198
128,2,6,29,512,20,12,8,0:03:24.719084
128,2,2,31,1024,20,12,8,0:02:57.745891
128,2,1,21,2048,20,11,9,0:04:09.061332
256,2,0,4,128,20,2,18,0:01:35.251072
256,2,2,14,256,20,8,12,0:02:26.250575
256,2,3,22,512,20,11,9,0:02:58.154347
256,2,2,22,1024,20,12,8,0:03:51.862698
256,2,3,67,2048,20,16,4,0:03:32.900114
512,2,0,14,128,20,7,13,0:01:33.829386
512,2,0,16,256,20,8,12,0:02:05.562282
512,2,2,37,512,20,13,7,0:03:54.155141
512,2,4,34,1024,20,14,6,0:04:34.654732
512,2,3,27,2048,20,14,6,0:06:13.943112
1024,2,0,8,128,20,4,16,0:01:36.356550
1024,2,2,27,256,20,12,8,0:02:25.829031
1024,2,4,22,512,20,10,10,0:03:24.622529
1024,2,2,28,1024,20,14,6,0:04:01.783755
1024,2,1,23,2048,20,12,8,0:07:18.357244
