chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,2,0.20704678601966842,0.1667564779006105,0.18337704094489904,0.1980204745732046,0.7811397969722748,0.4140654429793358,0.5372660636901856,0.5258359789848328,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,0 days 12:58:25.089945
128,256,2,0.41984814919077285,0.24349674774009433,0.29544465038663187,0.37546434451905597,0.7112207423965886,0.5476794308930073,0.6142750615781208,0.7025494120031033,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 03:41:41.064955
128,512,2,0.4135899911446925,0.2052017857152324,0.2623400828465833,0.3631738836733013,0.6266271479386651,0.6012207530027266,0.6113402038318676,0.7248758327277655,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 02:06:52.032716
128,1024,2,0.3882404172469284,0.18752280777513508,0.24548190475762097,0.3411144699496873,0.6109357720211998,0.5991213692902283,0.6027165957374276,0.7179366165183368,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 03:53:27.861892
128,2048,2,0.4086668879977816,0.2070210649511527,0.262315864236384,0.35875335122341445,0.6227959854515606,0.6067682447192541,0.6126332262696055,0.7272199955384921,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,2 days 04:07:19.134881
256,128,2,0.0564094412386969,0.03422445147854082,0.048650982338353785,0.05538164562175568,0.6589644040380206,0.3303418042404311,0.43528017667787416,0.4326405932328531,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,0 days 14:22:39.326962
256,256,2,0.2521972766547047,0.15230041605291084,0.18201449453233687,0.23464929612100335,0.7141153500193641,0.45344538892072345,0.5491915379488279,0.5875125486581099,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 04:51:53.579612
256,512,2,0.4597580461591647,0.23031246166128055,0.2789476498113203,0.41542348587769307,0.6891319560900069,0.5799321334874421,0.628287633652227,0.7267011077998325,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,0 days 00:00:00.000171
256,1024,2,0.45780357162368135,0.22157793240601814,0.26946741556766285,0.4125074593920272,0.6805580321501756,0.5840909922759656,0.6267978908061895,0.7278603922464129,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,2 days 06:23:32.423726
256,2048,2,0.4577511227700173,0.22147939623422214,0.26924889279609576,0.4123483598583536,0.6803057937527732,0.5841070371405255,0.6266925192618971,0.7276374331360562,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,2 days 06:58:59.660305
512,128,2,0.033549207385946266,0.02504919747799634,0.03218737527931732,0.032922788372081235,0.6656611680984497,0.2980451991160711,0.40829561253388724,0.42630051970481875,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,0 days 14:13:54.737047
512,256,2,0.17268474977136888,0.11103994463575634,0.1288684682717815,0.16343246464693384,0.7173576232932862,0.4317148059606552,0.5347881961436499,0.5751098449208907,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 03:35:50.511436
512,512,2,0.3369202118541889,0.18250048482297265,0.21249197390847457,0.3141696688050516,0.7109846885444505,0.5317547262379396,0.6065950188555076,0.6503664254261646,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 18:59:42.468727
