chunk_size,questions_num,qa_count_mismatch,total_questions,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,2,42,128,80,22,58,0:05:05.087853
128,2,2,32,128,80,17,63,0:05:21.893372
128,2,7,35,128,80,21,59,0:05:12.914107
128,2,3,57,256,80,27,53,0:08:09.360069
128,2,15,90,512,80,44,36,0:11:18.453037
128,2,11,103,1024,80,45,35,0:13:59.310100
128,2,8,116,2048,80,44,36,0:18:51.965106
256,2,1,35,128,80,18,62,0:05:35.143077
256,2,7,84,256,80,44,36,0:08:02.452417
256,2,4,111,512,80,51,29,0:11:05.594064
256,2,8,117,1024,80,59,21,0:13:31.249398
256,2,3,95,2048,80,49,31,0:18:22.030336
512,2,1,27,128,80,14,66,0:06:01.501528
512,2,4,66,256,80,35,45,0:09:27.358286
512,2,6,94,512,80,50,30,0:12:53.471786
512,2,11,127,1024,80,57,23,0:17:35.435950
512,2,8,193,2048,80,52,28,0:24:13.874127
1024,2,3,25,128,80,14,66,0:06:08.624297
1024,2,4,64,256,80,33,47,0:10:22.625023
1024,2,11,98,512,80,43,37,0:14:43.252140
1024,2,10,126,1024,80,45,35,0:21:31.121669
1024,2,10,108,2048,80,45,35,0:32:11.607521
