chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,1,22,128,900,21,879,0,0,0
128,0,2,212,256,900,209,691,0,0,0
128,0,3,314,512,900,310,590,0,0,0
128,0,7,329,1024,900,315,585,0,0,0
128,0,2,193,2048,578,190,387,0,0,0
256,0,0,21,128,900,21,879,0,0,0
256,0,3,304,256,900,293,607,0,0,0
256,0,3,444,512,900,433,467,0,0,0
256,0,9,464,1024,900,439,461,0,0,0
256,0,9,464,2048,900,439,461,0,0,0
512,0,1,27,128,900,26,874,0,0,0
512,0,1,264,256,900,263,637,0,0,0
512,0,8,507,512,900,480,420,0,0,0
512,0,21,571,1024,900,493,407,0,0,0
512,0,27,602,2048,900,499,401,0,0,0
1024,0,0,4,128,808,4,804,0,0,0
1024,0,1,32,256,808,29,779,0,0,0
1024,0,3,55,512,808,47,761,0,0,0
1024,0,8,77,1024,808,52,756,0,0,0
1024,0,10,93,2048,808,54,754,0,0,0
