Group 1,Group 2,Pseudo-F,p-value
128,256,196.84869917170067,0.009
128,512,418.27342346508675,0.005
128,1024,499.96815820374064,0.013
256,512,89.62303910931165,0.012
256,1024,191.1622674017103,0.003
512,1024,33.6906192668302,0.012
