feature,VIF
const,29811.3790795954
rouge1,38375.12998508941
rouge2,1777.2239683895396
rougeL,1426.2919851366557
rougeLsum,43678.88781443863
bert_score_P,993.086965673251
bert_score_R,8154.574347933268
bert_score_F1,11434.278919750202
sts_score,67.51067112745662
