Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,17.40768598625341,2.2585577875422185e-06,9.034231150168874e-06,True
rouge1,128,512,21.784811711747928,6.9774601268341895e-06,1.4561655916871351e-05,True
rouge1,128,1024,27.232206424737456,3.2409281515517767e-06,9.8839131948106e-06,True
rouge1,256,512,10.175159826721996,3.852964947922759e-05,6.739072683226084e-05,True
rouge1,256,1024,16.26170367929714,3.854413197464238e-06,9.8839131948106e-06,True
rouge1,512,1024,5.728632288028719,0.0004573288653353013,0.000562866295797294,True
rouge2,128,256,12.51989336843739,1.6461064123302388e-06,7.901310779185146e-06,True
rouge2,128,512,19.558629405976323,4.5674121522848625e-07,4.955727287440547e-06,True
rouge2,128,1024,23.19517264111322,7.011612531527338e-07,4.955727287440547e-06,True
rouge2,256,512,9.784883441323789,2.721533203555739e-05,5.225343750827019e-05,True
rouge2,256,1024,15.001327109231115,5.5516280788475275e-06,1.2689435608794348e-05,True
rouge2,512,1024,6.002599330676117,0.00039542776029885887,0.0004994876972196112,True
rougeL,128,256,17.123802709296584,3.5565165754044975e-06,9.8839131948106e-06,True
rougeL,128,512,26.17127127921338,1.2436769751197428e-06,6.632943867305295e-06,True
rougeL,128,1024,31.18178164849153,1.0890775709024956e-06,6.534465425414974e-06,True
rougeL,256,512,10.49676566913352,9.344252405762151e-06,1.8688504811524303e-05,True
rougeL,256,1024,17.261976690885692,7.227102294184132e-07,4.955727287440547e-06,True
rougeL,512,1024,7.322015722462974,9.764732707667601e-05,0.00013391633427658426,True
rougeLsum,128,256,15.506091620950816,3.3235603860550816e-06,9.8839131948106e-06,True
rougeLsum,128,512,20.746078349696504,6.756726356370338e-06,1.4561655916871351e-05,True
rougeLsum,128,1024,25.631241633410927,3.6228123859660934e-06,9.8839131948106e-06,True
rougeLsum,256,512,9.900532556708992,3.931125731881883e-05,6.739072683226084e-05,True
rougeLsum,256,1024,15.65373530978559,4.588074481289238e-06,1.1011378755094171e-05,True
rougeLsum,512,1024,5.670857040633321,0.0005000809952151487,0.0005873507056028106,True
bert_score_P,128,256,0.20561117361448797,0.8427601370554096,0.8606912038012694,False
bert_score_P,128,512,3.0518251901545526,0.017790901036322936,0.018976961105411132,True
bert_score_P,128,1024,22.714336305642068,7.319841875879275e-08,1.756762050211026e-06,True
bert_score_P,256,512,2.4722084970683706,0.03857741344641611,0.04025469229191246,True
bert_score_P,256,1024,19.703185104038727,4.697116617546016e-08,1.756762050211026e-06,True
bert_score_P,512,1024,17.295540050743412,1.3024361416456454e-07,2.0838978266330326e-06,True
bert_score_R,128,256,13.574414755285702,1.953934539601187e-06,8.526259809168816e-06,True
bert_score_R,128,512,19.984134253673894,7.016135728367775e-07,4.955727287440547e-06,True
bert_score_R,128,1024,13.528128112496155,4.177469098474167e-05,6.914431611267587e-05,True
bert_score_R,256,512,7.998288424964285,6.39661449029073e-05,9.594921735436096e-05,True
bert_score_R,256,1024,5.618312386577451,0.0015480482555908363,0.0017691980063895272,True
bert_score_R,512,1024,-0.11433948484462643,0.9122862855800979,0.9122862855800979,False
bert_score_F1,128,256,11.85632523949005,4.9978698275401e-05,7.996591724064159e-05,True
bert_score_F1,128,512,20.78929640349609,3.912382306279196e-06,9.8839131948106e-06,True
bert_score_F1,128,1024,17.227746410255232,3.1055189668697265e-05,5.733265784990265e-05,True
bert_score_F1,256,512,7.766101726813675,5.6552064713242486e-05,8.756448729792385e-05,True
bert_score_F1,256,1024,9.047854843655287,7.442905133626564e-05,0.00010826043830729548,True
bert_score_F1,512,1024,3.274874408646418,0.014458598679537521,0.01577301674131366,True
sts_score,128,256,7.117518352568578,0.0001310410611474078,0.0001747214148632104,True
sts_score,128,512,12.309692892456003,2.84601942245417e-06,9.8839131948106e-06,True
sts_score,128,1024,11.4948747637131,8.095032637663113e-05,0.00011428281370818512,True
sts_score,256,512,7.286536110345455,0.00021197107777804475,0.00027498950630665264,True
sts_score,256,1024,8.572831140153166,0.0005016953943690674,0.0005873507056028106,True
sts_score,512,1024,4.44177040029194,0.0049799106528807,0.005558970031122642,True
