chunk_size,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score
128,0.4549566057229443,0.3009293368150224,0.36957940164177333,0.42020331204315137,0.7714582808423845,0.5988289022213301,0.6702376682913386,0.7510831509071785
256,0.35063843682069307,0.23565816514318366,0.27872025268762524,0.32946943380998756,0.770782420945011,0.5390867614507249,0.6307251864690593,0.714161913469641
512,0.24018090531814956,0.16712868070592973,0.19668619234763432,0.22875609715843304,0.7614322723232065,0.4920118609355063,0.5952188149970667,0.6695646795229212
1024,0.1591873009505766,0.11038840046012477,0.12565178941865435,0.15313867347903645,0.6944841961316626,0.493011628691843,0.5742982485887786,0.6150586977255837
