chunk_size,questions_num,qa_count_mismatch,total_questions,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,18,162,256,200,90,110,0:17:31.171499
128,2,2,16,256,20,9,11,0:01:58.386235
