chunk_size,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score
128,0.44873441040197576,0.32929729100506017,0.36568479534842535,0.41913136972230713,0.7750319501677616,0.5729037315165336,0.6519782252245219,0.7094605163985278
256,0.30899981353539474,0.22952237492453847,0.2538730831476764,0.295052730855849,0.775354204031287,0.4999444703150278,0.6029312592231038,0.6538825597717633
512,0.1797242469664932,0.13249283465844955,0.14691956519691768,0.1734421488485846,0.7446868605525612,0.4399291643252258,0.5496110781095123,0.5621535386098395
1024,0.10607594964468518,0.0797377682809725,0.0884309799162107,0.1033869325869426,0.6832284331648021,0.4324335918441446,0.5260367126627279,0.5299440225703631
