feature,VIF
const,42245.30188395639
rouge1,127593.52846584613
rouge2,4929.305819865609
rougeL,7295.236005473588
rougeLsum,122076.82193768925
bert_score_P,1016.0238604394751
bert_score_R,16548.558869236076
bert_score_F1,21764.56166368619
sts_score,92.33263417257979
